Pi Timestamp,Arduino Time (ms),Pulse Count (Inlet)
2025-05-04 18:05:47.561,36500,0
2025-05-04 18:05:47.561,37000,0
2025-05-04 18:05:47.562,37500,0
2025-05-04 18:05:47.562,38000,0
2025-05-04 18:05:47.563,38500,0
2025-05-04 18:05:47.563,39000,0
2025-05-04 18:05:47.563,39500,0
2025-05-04 18:05:47.564,40000,0
2025-05-04 18:05:47.564,40500,0
2025-05-04 18:05:47.564,41000,0
2025-05-04 18:05:47.564,41500,0
2025-05-04 18:05:47.565,42000,0
2025-05-04 18:05:47.565,42500,0
2025-05-04 18:05:47.580,500,0
2025-05-04 18:05:48.078,1000,0
2025-05-04 18:05:48.578,1500,0
2025-05-04 18:05:49.078,2000,0
2025-05-04 18:05:49.577,2500,0
2025-05-04 18:05:50.077,3000,0
2025-05-04 18:05:50.577,3500,0
2025-05-04 18:05:51.077,4000,0
2025-05-04 18:05:51.576,4500,0
2025-05-04 18:05:52.076,5000,0
2025-05-04 18:05:52.576,5500,0
2025-05-04 18:05:53.076,6000,0
2025-05-04 18:05:53.575,6500,0
2025-05-04 18:05:54.075,7000,0
2025-05-04 18:05:54.575,7500,0
2025-05-04 18:05:55.074,8000,0
2025-05-04 18:05:55.574,8500,0
2025-05-04 18:05:56.073,9000,0
2025-05-04 18:05:56.573,9500,0
2025-05-04 18:05:57.073,10000,0
2025-05-04 18:05:57.573,10500,0
2025-05-04 18:05:58.072,11000,0
